angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
-0.25728,41.7877,2.72554,0.261654,0.71019,2.0172,2.19225,2.4853,2.93822,3.57081,4.27686,5.13013,6.07913,6.97181,7.54205,8.23263,10.2095,200.0,131.056,69.1946,42.006,29.3648,22.5634,18.7323,6452.37,1,-1.0,1.7500671856396365e-05,3.101858991882977e-10
-0.27699,41.6979,2.69586,0.282896,0.724116,1.8983,2.05561,2.31848,2.72196,3.27839,3.88868,4.61006,5.39045,6.10181,6.54387,7.06565,8.46786,12.8056,168.52,78.4096,45.1951,30.8393,23.503,19.3988,6432.6,1,-1.0,1.1500826803967356e-05,1.0566937325151572e-10
-0.290186,41.739,1.92339,0.292926,0.738258,1.78764,1.93119,2.17086,2.53708,3.03809,3.58158,4.21529,4.88935,5.49272,5.86205,6.29182,7.41208,10.4582,192.437,86.4738,47.7619,31.9907,24.2239,19.9174,6443.65,1,-1.0,1.161589298135368e-05,2.7730617802035338e-11
-0.27604,39.5241,-6.40173,0.291218,0.742945,1.76949,1.91627,2.16148,2.53769,3.05625,3.62442,4.29505,5.01895,5.67694,6.08483,6.56496,7.84724,11.6817,174.144,79.6841,45.6461,31.0608,23.6879,19.5672,6404.75,1,-1.0,0.618636655807495,1.6524379087279328e-11
-0.220128,40.1536,-4.12806,0.28668,0.747907,1.79488,1.96387,2.24776,2.6921,3.3269,4.05742,4.97498,6.04707,7.115,7.83372,8.75103,11.8124,194.486,100.051,59.6816,38.4691,27.7147,21.6554,18.1959,7708.8,1,-1.0,0.2422254204750061,8.076175284088548e-10
-0.179043,40.9095,-2.78752,0.281844,0.752892,1.80867,1.99506,2.31058,2.81377,3.55679,4.45262,5.6518,7.18759,8.92337,10.2684,12.3439,200.0,131.093,76.4806,50.527,34.5664,25.6872,20.3957,17.3381,7133.53,1,-1.0,0.7237102389335632,1.785534564646696e-09
-0.14284,41.5137,-2.33489,0.274601,0.757111,1.82545,2.02895,2.37653,2.94211,3.80709,4.90556,6.49554,8.82179,12.2249,16.9643,200.0,160.311,96.691,63.4171,44.5622,31.7629,24.1227,19.4122,16.662,8246.84,1,-1.0,1.0,1.0065657640723203e-09
-0.105988,42.2972,-1.65083,0.266639,0.760478,1.85326,2.07697,2.46353,3.10799,4.13738,5.53716,7.81787,12.2719,200.0,189.94,159.556,110.974,76.3061,54.0367,39.7976,29.356,22.7049,18.509,16.0344,10593.6,1,-0.6134369730949402,1.0,8.041751016207856e-08
-0.0676451,43.2228,-0.484189,0.26008,0.763232,1.89285,2.14109,2.57644,3.32454,4.58842,6.48309,10.3293,200.0,155.913,128.376,109.134,84.0263,62.5787,46.8424,35.8303,27.2256,21.3937,17.6628,15.4407,12888.4,1,-0.5519935727119446,1.0,6.294946501839149e-08
-0.0322843,44.2614,0.828929,0.291876,0.765806,1.93416,2.2081,2.69649,3.56419,5.12916,7.80562,200.0,158.16,110.15,95.6711,84.5789,68.7116,53.7206,41.7562,32.8422,25.5124,20.3199,16.9627,14.9465,9635.95,2,-0.3694946765899658,1.0,2.61764471360948e-06
-0.000910897,45.1899,1.75073,0.356604,0.768,1.97612,2.27599,2.81988,3.8206,5.76404,9.77303,193.232,115.246,87.4843,78.1103,70.5704,59.1975,47.7633,38.1137,30.5992,24.1558,19.4612,16.3977,14.5455,9641.13,2,-0.2447427481412887,1.0,4.734669637400657e-05
0.0227304,45.6473,1.87233,0.41342,0.76944,2.01276,2.33474,2.92738,4.05163,6.39387,12.6609,159.394,95.9109,75.8752,68.727,62.8272,53.6641,44.1161,35.7829,29.1117,23.2217,18.8645,16.002,14.2633,5372.02,2,-0.1515037849545479,1.0,9.047967614606024e-05
0.038099,45.6611,1.47821,0.432468,0.769747,2.04385,2.38235,3.01199,4.23344,6.92337,19.2131,135.663,86.7182,69.9869,63.8551,58.7277,50.6423,42.0555,34.4228,28.2175,22.6454,18.4928,15.7531,14.0845,7200.24,1,-0.164226870238781,1.0,7.366602658294142e-05
0.0490007,45.6032,0.817657,0.428012,0.768873,2.07674,2.42936,3.09061,4.39591,7.40685,200.0,123.116,81.3365,66.4099,60.853,56.1701,48.7175,40.7107,33.5122,27.603,22.2416,18.2286,15.5735,13.9535,7214.78,1,-0.081175198405981,1.0,2.46940297074616e-05
0.0566894,45.6087,0.416487,0.420545,0.767024,2.11181,2.47687,3.16556,4.54321,7.8441,200.0,115.94,78.0494,64.164,58.9466,54.5293,47.4606,39.8122,32.8881,27.1702,21.9515,18.0355,15.4397,13.8538,7109.05,1,-0.0852951720356941,1.0,1.606044388609007e-05
0.0627107,46.2191,0.223718,0.424911,0.764524,2.14947,2.52634,3.24095,4.68649,8.26937,200.0,111.117,75.7345,62.5483,57.5629,53.3285,46.5268,39.1316,32.4049,26.8268,21.7175,17.8773,15.3279,13.7691,9542.16,1,-0.0870951689779758,1.0,2.197668218286708e-05
0.0695259,47.0795,0.270013,0.442202,0.761637,2.19337,2.58422,3.32962,4.8577,8.81036,198.221,105.923,73.1901,60.7616,56.0293,51.9954,45.4883,38.3741,31.867,26.4454,21.4573,17.7008,15.2029,13.6742,11989.6,1,-0.0645494118332862,1.0,3.493648546282202e-05
0.0765487,48.0148,0.438435,0.475622,0.758481,2.24117,2.64737,3.42684,5.0478,9.45683,194.412,100.992,70.7097,59.0021,54.5134,50.6736,44.453,37.6144,31.325,26.0592,21.1928,17.5206,15.0748,13.5766,14315.6,1,-0.0164607133716344,1.0,4.7624323633499445e-05
0.08275,49.0048,0.672427,0.529632,0.755137,2.28944,2.71067,3.52366,5.23744,10.1465,190.816,97.1059,68.6902,57.5484,53.253,49.5684,43.5787,36.9647,30.8547,25.7193,20.958,17.3591,14.959,13.4875,10693.6,2,-0.0311303950846195,1.0,9.722275426611304e-05
0.0883867,49.9983,0.713109,0.578379,0.751544,2.33923,2.77562,3.62253,5.43135,10.9074,187.282,93.8944,66.9748,56.2974,52.1626,48.6074,42.8117,36.3883,30.4322,25.4097,20.7423,17.2096,14.8507,13.4035,10692.7,2,-0.0208077577874064,1.0,0.0001107961288653
0.0932227,50.7618,0.557221,0.611633,0.747554,2.39129,2.84281,3.72343,5.62708,11.7304,184.064,91.4125,65.606,55.2831,51.272,47.8172,42.1733,35.9009,30.0684,25.1379,20.5503,17.0747,14.7515,13.3254,5847.01,2,-0.0528751842677593,1.0,4.490924184210599e-05
0.0968136,50.8113,0.181299,0.608417,0.742991,2.44571,2.91179,3.82437,5.81662,12.5572,181.801,89.844,64.6913,54.5844,50.6504,47.2587,41.7113,35.537,29.7871,24.92,20.3927,16.9609,14.6655,13.2561,8169.69,1,-0.0378508239984512,1.0,3.0489664641208947e-05
0.100298,50.774,0.00854862,0.580056,0.737981,2.50469,2.98635,3.93321,6.02138,13.55,179.397,88.3636,63.816,53.9111,50.0494,46.7171,41.2614,35.1806,29.5099,24.7038,20.2349,16.8461,14.578,13.1849,8181.48,1,-0.0311050280928611,1.0,2.740020863711834e-05
0.103637,50.7764,-0.0652504,0.554334,0.732684,2.56656,3.06447,4.04718,6.23663,14.762,176.836,86.9971,62.9953,53.2751,49.4798,46.2023,40.8315,34.8378,29.2414,24.493,20.0799,16.7325,14.4908,13.1135,7897.91,1,-0.0235666880384087,1.0,2.6220784639008345e-05
0.106825,51.4223,-0.0582463,0.548557,0.727158,2.6307,3.14542,4.16533,6.4611,16.3373,174.019,85.7492,62.233,52.6794,48.9443,45.7168,40.4235,34.5102,28.9827,24.2884,19.9284,16.6206,14.4043,13.0422,10687.4,1,-0.0026249419664964,1.0,4.596181388478727e-05
0.109676,52.2999,0.0182256,0.561025,0.721433,2.69622,3.22787,4.28518,6.68877,18.6555,171.247,84.7378,61.591,52.168,48.481,45.2936,40.063,34.2158,28.7463,24.0983,19.7857,16.5141,14.3211,12.9731,13097.7,1,0.038900563493371,1.0,6.561112240888178e-05
0.111405,53.233,0.12984,0.58576,0.715586,2.75948,3.30637,4.39673,6.89343,21.9543,171.165,84.4324,61.3171,51.9181,48.2421,45.0651,39.8532,34.0291,28.5834,23.9573,19.6748,16.4282,14.2517,12.9138,9799.37,2,0.0272362366318702,1.0,0.0001050104154273
0.112487,54.202,0.112295,0.658156,0.709587,2.82217,3.38346,4.50471,7.08652,24.5454,172.682,84.5382,61.256,51.8186,48.1323,44.9483,39.7293,33.9034,28.4618,23.8436,19.581,16.3534,14.1896,12.8595,9803.6,2,0.0329405542463064,1.0,0.0001144748646765
0.113569,54.2792,0.141584,0.732373,0.703479,2.88616,3.46221,4.61518,7.28544,26.8645,173.904,84.6557,61.1989,51.7213,48.0239,44.8327,39.6061,33.7778,28.3401,23.7296,19.4863,16.2778,14.1267,12.8045,6268.22,2,-0.0067152547650039,1.0,6.337639642879367e-05
0.115308,54.9098,0.0453125,0.771984,0.697225,2.95433,3.54705,4.73664,7.51338,29.8133,173.836,84.3684,60.9306,51.4735,47.7864,44.6047,39.3956,33.5897,28.1754,23.5867,19.372,16.1889,14.0545,12.7425,6964.0,2,0.0010630666161887,1.0,7.366911740973592e-05
0.117496,55.7647,0.0285679,0.790606,0.690707,3.02722,3.63846,4.86927,7.76988,33.3091,173.005,83.81,60.5195,51.1236,47.4605,44.2998,39.1252,33.3582,27.9803,23.4227,19.2429,16.0897,13.9748,12.6747,7356.11,2,0.0115594374015927,1.0,8.679728489369154e-05
0.119528,56.6595,0.0441876,0.799843,0.68397,3.10215,3.73228,5.00523,8.03405,36.5303,172.492,83.3588,60.1621,50.8108,47.1662,44.022,38.8751,33.1404,27.7941,23.2642,19.1165,15.9918,13.8956,12.6069,7801.03,2,0.0217189913615584,1.0,0.0001073104562237
0.121181,57.5826,0.0598238,0.805789,0.677032,3.1779,3.82678,5.14133,8.29659,39.0201,172.725,83.1537,59.9298,50.5858,46.9467,43.8087,38.6745,32.9576,27.6311,23.1209,18.9989,15.8993,13.8197,12.5412,8340.46,2,0.0415520779788494,1.0,0.0001323533826507
0.122154,58.5258,0.0835938,0.815693,0.669924,3.25282,3.91932,5.27246,8.54254,40.2086,174.059,83.386,59.9199,50.5169,46.8609,43.7109,38.5624,32.8372,27.5106,23.0056,18.8984,15.8177,13.751,12.4804,9021.29,2,0.0627068951725959,1.0,0.000164392683655
0.122064,59.4833,0.0852426,0.848407,0.662682,3.32463,4.0064,5.39194,8.75156,39.6206,176.593,84.3232,60.2645,50.6961,46.9869,43.796,38.5905,32.8162,27.4574,22.9349,18.8254,15.754,13.6942,12.4281,9869.17,2,0.0806193105876445,1.0,0.0001961909933015
0.120722,60.4569,0.0293917,0.881253,0.655329,3.39193,4.08589,5.49542,8.91121,37.5141,179.971,86.1619,61.0495,51.1805,47.3725,44.1045,38.7889,32.9151,27.4849,22.9178,18.7849,15.7115,13.6516,12.3859,10717.7,2,0.0887299552559852,1.0,0.000204095011577
