angle,speed,speedY,speedZ,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,steer,accel,brake
0.23804,64.6748,-0.811612,-0.683423,-0.56179,27.1558,23.1522,18.6947,14.5901,11.5209,9.70441,8.48456,7.69861,7.23135,7.01362,6.80595,6.41917,5.90442,5.32403,4.73795,4.11548,3.60625,3.24646,3.01954,7473.7,2,1.0,1.225974095575566e-08,0.10177427530288696
0.228848,64.052,-1.04729,-0.673812,-0.57796,27.4815,23.3726,18.8568,14.6784,11.5416,9.68339,8.43678,7.63507,7.15931,6.93788,6.72685,6.33435,5.81314,5.22731,4.63801,4.01488,3.50728,3.1497,2.92443,7246.86,2,1.0,1.8625399356153592e-08,0.11789376735687257
0.218982,63.3767,-1.29967,-0.665064,-0.593619,27.8797,23.6225,19.0493,14.7952,11.5862,9.68218,8.40554,7.58587,7.10027,6.87452,6.65958,6.26029,5.73129,5.13862,4.54482,3.91982,3.413,3.05709,2.83313,7143.15,2,1.0,3.844611455861013e-08,0.13697750568389894
0.208533,62.6515,-1.57054,-0.656756,-0.60875,28.3577,23.8994,19.2704,14.9395,11.6543,9.70051,8.39064,7.55077,7.05399,6.82332,6.60387,6.19675,5.6586,5.05769,4.45811,3.83011,3.32328,2.96854,2.74562,7035.01,2,1.0,8.305444794132199e-08,0.15911583900451662
0.197653,61.8682,-1.85628,-0.648386,-0.623336,28.9212,24.1986,19.5163,15.1082,11.7439,9.73682,8.39074,7.52862,7.01942,6.78325,6.55874,6.14279,5.59423,4.98381,4.37735,3.74534,3.23784,2.88388,2.66179,6916.03,2,1.0,1.8341473264626982e-07,0.17943519353866577
0.186514,61.0235,-2.14896,-0.63934,-0.637371,29.5751,24.5143,19.7815,15.2971,11.8521,9.78875,8.40396,7.51773,6.99501,6.75282,6.52277,6.09711,5.53706,4.916,4.30172,3.66493,3.15626,2.80282,2.58142,6790.2,2,1.0,3.902002731592802e-07,0.19551955461502077
0.17528,60.1232,-2.43668,-0.629239,-0.650853,30.3245,24.8452,20.0608,15.5019,11.9754,9.85373,8.42818,7.51632,6.97912,6.73047,6.49447,6.05833,5.48587,4.85328,4.23043,3.58829,3.07814,2.72508,2.50431,6661.74,2,1.0,8.03789259862242e-07,0.2015021324157715
0.164086,59.1826,-2.7032,-0.617782,-0.663775,31.1762,25.218,20.3495,15.7186,12.1111,9.92959,8.46167,7.5229,6.97042,6.71493,6.47262,6.02539,5.43973,4.79486,4.1629,3.51501,3.00321,2.65045,2.43033,6540.69,2,1.0,1.548068803458591e-06,0.2106818199157715
0.153015,58.2136,-2.93742,-0.604972,-0.676129,32.1404,25.64,20.6444,15.9447,12.2572,10.0152,8.50346,7.5367,6.96823,6.70559,6.45666,5.99777,5.39822,4.74044,4.09888,3.44495,2.93138,2.57892,2.35944,6415.35,2,1.0,2.8398145786923123e-06,0.22010343074798586
0.14217,57.2184,-3.13506,-0.591323,-0.687904,33.2273,26.1119,20.9417,16.1765,12.4112,10.1085,8.55207,7.55651,6.97151,6.70144,6.44564,5.97464,5.36067,4.6895,4.03802,3.37787,2.86252,2.51039,2.29162,6287.53,2,1.0,4.767121799886808e-06,0.2289074182510376
0.131676,56.1995,-3.29122,-0.57753,-0.699101,34.4453,26.6327,21.2362,16.4096,12.5692,10.2067,8.60513,7.58034,6.9785,6.70085,6.43805,5.95467,5.32596,4.64115,3.97967,3.31338,2.79635,2.44468,2.22673,6158.88,2,1.0,6.977656084927729e-06,0.23938751220703125
0.121672,55.1581,-3.40169,-0.564068,-0.709711,35.801,27.1995,21.5224,16.6387,12.7268,10.306,8.65982,7.60585,6.98716,6.70191,6.43207,5.93628,5.29283,4.59447,3.92318,3.25103,2.73265,2.38166,2.16467,6027.26,2,1.0,1.3326132466318085e-05,0.24314379692077637
